age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,2.2,2.3,2.1,1.8,1.8,1.9,0.4,0.5,0.2
21 bis unter 25,3.4,3.3,3.5,5.4,5.2,5.5,-2,-1.9,-2
25 bis unter 30,8.1,8.2,7.9,10.9,10.8,11.0,-2.8,-2.6,-3.1
30 bis unter 35,10.5,10.7,10.3,11.1,11.5,10.8,-0.6,-0.8,-0.5
35 bis unter 40,9.9,10.7,9.2,8.6,9.5,7.8,1.3,1.2,1.4
40 bis unter 45,7.8,8.3,7.3,7.8,8.6,7.0,0,-0.3,0.3
45 bis unter 50,8.4,9.2,7.6,9.0,9.7,8.4,-0.6,-0.5,-0.8
50 bis unter 60,18.4,19.1,17.8,16.6,17.3,16.0,1.8,1.8,1.8
60 bis unter 70,13.7,13.6,13.8,11.8,11.4,12.1,1.9,2.2,1.7
70 und Ã¤lter,17.5,14.6,20.3,17.0,14.2,19.7,0.5,0.4,0.6
